Datetime,PM10,CO,NO,NO2,NOX,SO2,O3,Rain,Net_rad,Pressure,Temp,Rel_hum
2009-01-01 01:00:00,,,,,,,,,,,,
2009-01-01 02:00:00,,,,,,,,,,,,
2009-01-01 03:00:00,,,,,,,,,,,,
2009-01-19 23:00:00,,,,,,,,,,,,
2009-01-20 00:00:00,,,,,,,,,,,,
2009-01-20 01:00:00,74.0,0.599999,3.0,3.0,7.0,0.5,5.0,0.0,-41.0,985.0,17.0,77.0
2009-01-20 02:00:00,82.0,0.599999,3.0,3.0,7.0,1.3,2.0,0.0,-42.0,985.0,17.0,79.0
2009-01-20 03:00:00,69.0,,,,,,,0.0,-38.0,984.0,16.0,84.0
2009-01-20 04:00:00,63.0,0.3,0.0,2.0,2.0,1.3,5.0,0.0,-33.0,984.0,15.0,86.0
2009-01-20 05:00:00,70.0,0.3,1.0,1.0,2.0,1.3,4.0,0.0,-31.0,983.0,15.0,86.0
2009-01-20 06:00:00,44.0,0.3,3.0,2.0,5.0,1.3,1.0,0.0,-29.0,984.0,14.0,87.0
2009-01-20 07:00:00,110.0,0.5,8.0,2.0,10.0,1.0,1.0,0.0,-26.0,984.0,14.0,88.0
2009-01-20 08:00:00,106.0,0.9,14.0,2.0,16.0,0.799999,1.0,0.0,-12.0,985.0,14.0,88.0
2009-01-20 09:00:00,154.0,1.7,43.0,3.0,47.0,1.3,2.0,0.0,116.0,986.0,15.0,85.0
2009-01-20 10:00:00,153.0,1.9,35.0,6.0,41.0,1.5,6.0,0.0,340.0,987.0,17.0,76.0
2009-01-20 11:00:00,160.0,1.5,18.0,8.0,26.0,1.3,17.0,0.0,492.0,988.0,20.0,65.0
2009-01-20 12:00:00,55.0,0.799999,7.0,4.0,12.0,0.799999,35.0,0.0,623.0,987.0,23.0,54.0
2009-01-20 13:00:00,99.0,0.5,5.0,4.0,9.0,1.5,52.0,0.0,736.0,986.0,26.0,45.0
2009-01-20 14:00:00,53.0,0.4,3.0,3.0,6.0,1.5,60.0,0.0,738.0,984.0,28.0,36.0
