Datetime,PM10,CO,NO,NO2,NOX,SO2,O3,Rain,Net_rad,Pressure,Temp,Rel_hum
1/1/2009 1:00,,,,,,,,,,,,
1/20/2009 1:00,74,0.599999,3,3,7,0.5,5,0,-41,985,17,77
1/20/2009 2:00,82,0.599999,3,3,7,1.3,2,0,-42,985,17,79
1/20/2009 3:00,69,,,,,,,0,-38,984,16,84
1/20/2009 4:00,63,0.3,0,2,2,1.3,5,0,-33,984,15,86
1/20/2009 5:00,70,0.3,1,1,2,1.3,4,0,-31,983,15,86
1/20/2009 6:00,44,0.3,3,2,5,1.3,1,0,-29,984,14,87
1/20/2009 7:00,110,0.5,8,2,10,1,1,0,-26,984,14,88
1/20/2009 8:00,106,0.9,14,2,16,0.799999,1,0,-12,985,14,88
1/20/2009 9:00,154,1.7,43,3,47,1.3,2,0,116,986,15,85
1/20/2009 10:00,153,1.9,35,6,41,1.5,6,0,340,987,17,76
1/20/2009 11:00,160,1.5,18,8,26,1.3,17,0,492,988,20,65
1/20/2009 12:00,55,0.799999,7,4,12,0.799999,35,0,623,987,23,54
1/20/2009 13:00,99,0.5,5,4,9,1.5,52,0,736,986,26,45
1/20/2009 14:00,53,0.4,3,3,6,1.5,60,0,738,984,28,36
1/20/2009 15:00,54,0.2,2,2,4,0.5,46,0,654,982,29,32
1/20/2009 16:00,117,0.2,1,1,2,1,52,0,365,981,29,32
1/20/2009 17:00,126,,,,,,,0,75,981,29,32
1/20/2009 18:00,65,,,,,,,0,36,982,28,34
1/20/2009 19:00,143,1.4,3,8,11,1.8,17,0,-39,982,26,43
1/20/2009 20:00,105,1.6,12,10,22,1.8,4,0,-49,982,24,51
1/20/2009 21:00,218,1.7,16,8,24,1.8,3,0,-45,983,22,60
1/20/2009 22:00,123,1,1,5,6,2.8,13,0,-43,983,21,66
1/20/2009 23:00,125,1.8,9,6,16,1.8,4,0,-44,984,20,72
1/21/2009 0:00,,,,,,,,,,,,
1/21/2009 1:00,56,1.1,10,4,14,1.5,1,0,-39,982,19,79
1/21/2009 2:00,68,0.7,4,3,8,0.5,1,0,-36,982,18,84
