Datetime,PM10,CO,NO,NO2,NOX,SO2,O3,Rain,Temp,Rel_hum,Net_rad,Pressure
2009-01-01 01:00:00,8.0,0.0999999,0.0,1.0,1.0,0.0,0.0,,,,,
2009-01-01 02:00:00,12.0,0.2,1.0,0.0,1.0,0.0,0.0,0.0,16.9,97.2,,977.0
2009-01-01 03:00:00,15.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,16.6,97.2,,976.0
2009-01-01 04:00:00,1.0,0.0999999,0.0,0.0,0.0,0.0,0.0,0.0,15.9,97.2,,976.0
2009-01-01 05:00:00,9.0,0.0999999,1.0,1.0,2.0,0.0,0.0,0.0,15.7,97.2,,976.0
2009-01-01 06:00:00,22.0,0.3,1.0,1.0,2.0,0.0,0.0,0.0,15.6,97.2,,976.0
2009-01-01 07:00:00,15.0,0.0999999,1.0,0.0,1.0,0.0,0.0,0.0,15.8,97.2,,977.0
2009-01-01 08:00:00,42.0,0.4,10.0,1.0,11.0,0.0,0.0,0.0,16.1,97.2,,978.0
2009-01-01 09:00:00,75.0,0.3,7.0,3.0,10.0,0.0,1.0,0.0,18.8,95.7,,979.0
2009-01-01 10:00:00,89.0,0.0999999,0.0,1.0,1.0,0.0,9.0,0.0,22.8,79.7,,980.0
2009-01-01 11:00:00,3.0,0.2,1.0,1.0,2.0,0.0,17.0,0.0,26.0,66.7,,980.0
2009-01-01 12:00:00,1.0,0.2,0.0,1.0,1.0,0.0,22.0,0.0,28.3,57.0,,980.0
2009-01-01 13:00:00,,0.0999999,0.0,0.0,0.0,0.0,27.0,0.0,29.6,50.3,,979.0
2009-01-01 14:00:00,1.0,0.0999999,0.0,0.0,0.0,0.0,25.0,0.0,30.1,49.8,,978.0
2009-01-01 15:00:00,2.0,,,,,,,0.0,30.3,48.8,,977.0
2009-01-01 16:00:00,11.0,0.0999999,1.0,0.0,1.0,0.0,26.0,0.0,30.2,49.7,,976.0
2009-01-01 17:00:00,15.0,0.0999999,0.0,0.0,0.0,0.0,25.0,0.0,29.9,53.1,,976.0
2009-01-01 18:00:00,18.0,0.0999999,0.0,1.0,1.0,0.0,23.0,0.0,28.3,59.5,,976.0
2009-01-01 19:00:00,29.0,0.0999999,0.0,1.0,1.0,0.0,13.0,0.0,25.3,76.2999,,976.0
2009-01-01 20:00:00,10.0,0.0999999,0.0,0.0,0.0,0.0,10.0,0.0,23.4,81.3999,,977.0
2009-01-01 21:00:00,22.0,0.0999999,0.0,1.0,1.0,0.0,5.0,0.0,22.7,85.5,,978.0
2009-01-01 22:00:00,22.0,0.3,2.0,3.0,5.0,0.0,3.0,0.0,21.6,90.2999,,978.0
2009-01-01 23:00:00,21.0,0.2,1.0,1.0,2.0,0.0,5.0,0.0,21.5,86.7,,978.0
2009-01-02 00:00:00,,,,,,,,,,,,
2009-01-02 01:00:00,12.0,0.0999999,0.0,1.0,1.0,0.0,10.0,0.0,22.8,79.6,,979.0
2009-01-02 02:00:00,7.0,0.0999999,0.0,1.0,1.0,0.0,7.0,0.0,22.0,83.5,,979.0
2009-01-02 03:00:00,6.0,0.0999999,0.0,0.0,0.0,0.0,6.0,0.0,21.4,86.7999,,979.0
2009-01-02 04:00:00,3.0,0.0999999,0.0,0.0,0.0,0.0,6.0,0.0,21.3,86.1,,978.0
2009-01-02 05:00:00,3.0,0.0999999,0.0,1.0,1.0,0.0,6.0,0.0,21.1,86.5,,978.0
2009-01-02 06:00:00,8.0,0.0999999,0.0,1.0,1.0,0.0,6.0,0.0,20.6,85.8999,,978.0
2009-01-02 07:00:00,15.0,0.0999999,0.0,2.0,2.0,0.0,2.0,0.0,19.4,91.8999,,979.0
2009-01-02 08:00:00,27.0,0.0999999,0.0,1.0,1.0,0.0,1.0,0.0,19.7,91.7,,980.0
