Datetime,CO,NO,O3,H2S,NO2,SO2,NOX,Glob_rad,Net_rad,PM10,Pressure,Rain,Rel_hum,Temp,Wind_dir,Wind_speed
2009-01-01 01:00:00,0.34,2.0,3.0,0.0,1.0,0.0,3.0,0.0,-37.0,35.0,977.0,0.0,90.0,16.3,150.0,0.00999999
2009-01-01 02:00:00,0.29,3.0,1.0,0.0,1.0,1.0,4.0,0.0,-36.0,30.0,977.0,0.0,89.0,16.2,168.0,0.03
2009-01-01 03:00:00,0.26,2.0,1.0,0.0,1.0,1.0,3.0,0.0,-40.0,22.0,976.0,0.0,90.0,15.7,177.0,0.03
2009-01-01 04:00:00,0.39,2.0,1.0,0.0,1.0,1.0,3.0,0.0,-44.0,35.0,976.0,0.0,90.0,15.0,143.0,0.03
2009-01-01 05:00:00,0.32,2.0,2.0,0.0,1.0,1.0,2.0,0.0,-47.0,15.0,976.0,0.0,90.0,14.7,192.0,0.00999999
2009-01-01 06:00:00,0.24,2.0,3.0,0.0,0.0,1.0,2.0,0.0,-43.0,10.0,976.0,0.0,90.0,14.7,98.0,0.00999999
2009-01-01 07:00:00,0.21,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-41.0,14.0,977.0,0.0,90.0,14.7,197.0,0.0
2009-01-01 08:00:00,0.14,2.0,3.0,0.0,1.0,1.0,2.0,33.0,-17.0,19.0,978.0,0.0,91.0,15.3,172.0,0.00999999
2009-01-01 09:00:00,0.14,3.0,5.0,0.0,1.0,1.0,4.0,92.0,7.0,28.0,979.0,0.0,88.0,16.8,186.0,0.00999999
2009-01-01 10:00:00,0.24,2.0,12.0,0.0,1.0,1.0,3.0,389.0,160.0,36.0,979.0,0.0,72.0,21.4,112.0,0.11
2009-01-01 11:00:00,0.26,6.0,13.0,0.0,2.0,2.0,8.0,663.0,385.0,14.0,979.0,0.0,54.0,25.8,97.0,0.33
2009-01-01 12:00:00,0.21,20.0,7.0,1.0,5.0,4.0,25.0,758.0,457.0,3.0,978.0,0.0,47.0,27.7,108.0,0.22
2009-01-01 13:00:00,0.0899999,9.0,15.0,1.0,3.0,3.0,12.0,705.0,404.0,4.0,977.0,0.0,45.0,28.4,144.0,0.17
2009-01-01 14:00:00,0.03,2.0,20.0,1.0,1.0,1.0,3.0,778.0,484.0,4.0,976.0,0.0,42.0,28.8,142.0,0.17
